"","total","General Fund","Water Fund","Water Residual Fund","County Liquid Fuels Tax Fund","Specaal Gasoline Tax Fun","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND","HOTEL ROOM RENTAL TAX Fund","Grants Fund","Aviation Fund","Community Development Fund","Car Rental Rental Tax Fund","Municipal Pension Fund","Housing Trust Fund","Acute Care Hospital Fund"
"COUNCIL",17707946,17707946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF LABOR",1617396,1617396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR",5620076,4634141,NA,NA,NA,NA,NA,NA,985935,NA,NA,NA,NA,NA,NA
"MAYOR Ð SCHOLARSHIPS",200000,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF INNOVATION AND TECHNOLOGY",170085403,83737508,29000705,NA,NA,NA,NA,NA,55264101,2083089,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF COMMUNITY EMPOWERMENT AND OPPORTUNITY",21352519,1675000,NA,NA,NA,NA,NA,NA,19677519,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY Ð BOARD OF TRUSTEES OF ATWATER KENT MUSEUM",301897,301897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY Ð ART MUSEUM SUBSIDY CREATIVE ECONOMY Ð ART MUSEUM SUBSIDY",2550000,2550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY Ð MURAL ARTS PROGRAM",1924602,1924602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY",4204966,4179966,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF THE INSPECTOR GENERAL",1648011,1648011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF THE CHIEF ADMINISTRATIVE OFFICER",5753587,5753587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF COMMUNITY SCHOOLS AND PRE-K",42551677,42551677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PLANNING AND DEVELOPMENT",182377361,8195882,NA,NA,NA,NA,NA,NA,88576222,NA,58105257,NA,NA,27500000,NA
"MANAGING DIRECTOR",86854450,40285836,138550,NA,NA,NA,NA,NA,46430064,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð LEGAL SERVICES",48414381,48414381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT",61891461,49576866,8825836,NA,NA,NA,NA,NA,NA,3488759,NA,NA,NA,NA,NA
"MANAGING DIRECTOR Ð OFFICE OF FLEET MANAGEMENT Ð VEHICLE PURCHASE",13965000,13965000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POLICE DEPARTMENT",688581346,652106097,NA,NA,NA,NA,NA,NA,20583079,15892170,NA,NA,NA,NA,NA
"DEPARTMENT OF STREETS",214960424,137332424,NA,NA,7000000,38000000,NA,NA,32628000,NA,NA,NA,NA,NA,NA
"FIRE DEPARTMENT",275372570,247546034,NA,NA,NA,NA,NA,NA,20024062,7802474,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC HEALTH",262959591,136362067,NA,NA,NA,NA,NA,NA,114458760,NA,NA,NA,NA,NA,12138764
"DEPARTMENT OF PUBLIC HEALTH Ð OFFICE OF BEHAVIORAL HEALTH AND INTELLECTUAL DISABILITY",1585236248,14218574,NA,NA,NA,NA,1300000000,NA,271017674,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PARKS AND RECREATION",74264595,61733041,NA,NA,NA,NA,NA,NA,12531554,NA,NA,NA,NA,NA,NA
