"","total","General Fund","Water Fund","Water Residual Fund","County Liquid Fuels Tax","Special Gasoline Tax","HEALTHCHOICES BEHAVIORAL Health Revenue Fund","Hotel Room Rental Tax","Grants Revenue Fund","Aviation Fund","Community Development Fund","Car Rental Tax Fund","Municipal Pension Fund","Housing Trust Fund","Acute Care Hospital Fund","Budget Stabilization Fund"
"COUNCIL",17927973,17927973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF LABOR",2454828,2454828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR",7028818,6113633,NA,NA,NA,NA,NA,NA,915185,NA,NA,NA,NA,NA,NA,NA
"MAYOR – SCHOLARSHIPS",200000,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF INNOVATION AND TECHNOLOGY",249980311,112433625,30850024,NA,NA,NA,NA,NA,103697973,2998689,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF COMMUNITY EMPOWERMENT AND OPPORTUNITY",18745860,90000,NA,NA,NA,NA,NA,NA,18655860,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY – ART MUSEUM SUBSIDY",2550000,2550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY – MURAL ARTS PROGRAM",2499602,2499602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY",4098002,4098002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF THE INSPECTOR GENERAL",1680441,1680441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF THE CHIEF ADMINISTRATIVE OFFICER",7438265,7438265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR – OFFICE OF EDUCATION",45746874,45350014,NA,NA,NA,NA,NA,NA,396860,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PLANNING AND DEVELOPMENT",210357665,11810746,NA,NA,NA,NA,NA,NA,61870058,NA,68260861,NA,NA,68416000,NA,NA
"MANAGING DIRECTOR",66461592,55779720,138550,NA,NA,NA,NA,NA,10543322,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR – LEGAL SERVICES",50439541,50439541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR – OFFICE OF FLEET MANAGEMENT",62561897,50114034,8846754,NA,NA,NA,NA,NA,NA,3601109,NA,NA,NA,NA,NA,NA
"MANAGING DIRECTOR – OFFICE OF FLEET MANAGEMENT – VEHICLE PURCHASE",22086549,17286549,NA,NA,NA,NA,NA,NA,NA,4800000,NA,NA,NA,NA,NA,NA
"POLICE DEPARTMENT",773636977,741165097,NA,NA,NA,NA,NA,NA,14439985,18031895,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF STREETS",229926932,157032932,NA,NA,7273000,35940000,NA,NA,29681000,NA,NA,NA,NA,NA,NA,NA
"FIRE DEPARTMENT",334608267,298549278,NA,NA,NA,NA,NA,NA,26738515,9320474,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC HEALTH",348056513,160572140,NA,NA,NA,NA,NA,NA,167330965,NA,NA,NA,NA,NA,20153408,NA
"DEPARTMENT OF PUBLIC HEALTH – OFFICE OF BEHAVIORAL HEALTH AND INTELLECTUAL DISABILITY",1601378303,15895444,NA,NA,NA,NA,1300000000,NA,285482859,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PARKS AND RECREATION",78610879,65058055,NA,NA,NA,NA,NA,NA,13552824,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY",72961944,68691597,4270347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY – CITY SUBSIDY FOR SEPTA",87556000,87556000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY – SPACE RENTALS",26278677,26278677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PUBLIC PROPERTY – UTILITIES",54293339,27393339,NA,NA,NA,NA,NA,NA,NA,26900000,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES",741978845,118965013,NA,NA,NA,NA,NA,NA,623013832,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF HUMAN SERVICES – OFFICE OF HOMELESS SERVICES",105374959,59945719,NA,NA,NA,NA,NA,NA,45429240,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF PRISONS",238183523,238183523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS",41772854,41282551,NA,NA,NA,NA,NA,NA,NA,NA,490303,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS – BOARD OF LICENSE AND INSPECTION REVIEW",173870,173870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF LICENSES AND INSPECTIONS – BOARD OF BUILDING STANDARDS",80366,80366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF RECORDS",4910278,4910278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE",104556334,100335334,NA,NA,NA,NA,NA,NA,NA,4146000,NA,NA,NA,NA,75000,NA
"DIRECTOR OF FINANCE – BUDGET STABILIZATION",34276100,34276000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
"DIRECTOR OF FINANCE – COMMUNITY COLLEGE OF PHILADELPHIA",33759207,33759207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – FRINGE BENEFITS",1626731012,1411963002,147439194,NA,NA,1000000,NA,NA,NA,66061224,NA,NA,NA,NA,267592,NA
"DIRECTOR OF FINANCE – HERO AWARD",25000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – INDEMNITIES",59258000,49246000,7500000,NA,NA,NA,NA,NA,NA,2512000,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – REGULATION 32 PAYROLL",2650000,2650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – REFUNDS",250000,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – CONTRIBUTION TO SCHOOL DISTRICT",222456410,222456410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – WITNESS FEES",171518,171518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEPARTMENT OF REVENUE",76821849,32879233,17472616,NA,NA,NA,NA,NA,26425000,NA,NA,NA,NA,NA,45000,NA
"DEPARTMENT OF REVENUE – SINKING FUND COMMISSION",656636648,296705317,218105830,NA,NA,NA,NA,NA,NA,134825501,NA,7000000,NA,NA,NA,NA
"PROCUREMENT DEPARTMENT",5779848,5674563,105285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY TREASURER",1483167,1483167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY REPRESENTATIVE",1249695,1249695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE",307928986,9851361,NA,NA,NA,NA,NA,77562000,10175000,199188000,11152625,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE – CONVENTION CENTER SUBSIDY",15000000,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF COMMERCE – ECONOMIC STIMULUS",7671624,7671624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW DEPARTMENT",21191922,16085045,3304069,NA,NA,NA,NA,NA,NA,1607235,195573,NA,NA,NA,NA,NA
"BOARD OF ETHICS",1101630,1101630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF SUSTAINABILITY",1491005,1213258,93874,NA,NA,NA,NA,NA,90000,93873,NA,NA,NA,NA,NA,NA
"BOARD OF TRUSTEES OF THE FREE LIBRARY OF PHILADELPHIA",53968893,45760383,NA,NA,NA,NA,NA,NA,8208510,NA,NA,NA,NA,NA,NA,NA
"COMMISSION ON HUMAN RELATIONS",2386402,2386402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIVIL SERVICE COMMISSION",204935,204935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF HUMAN RESOURCES",6874287,6874287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFFICE OF PROPERTY ASSESSMENT",17318408,17318408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUDITING DEPARTMENT",9781847,9384550,NA,NA,NA,NA,NA,NA,397297,NA,NA,NA,NA,NA,NA,NA
"BOARD OF REVISION OF TAXES",1060791,1060791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REGISTER OF WILLS",4751645,4551645,NA,NA,NA,NA,NA,NA,200000,NA,NA,NA,NA,NA,NA,NA
"DISTRICT ATTORNEY",54211142,38908536,NA,NA,NA,NA,NA,NA,15302606,NA,NA,NA,NA,NA,NA,NA
"SHERIFF",27046961,27046961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CITY COMMISSIONERS",14841911,12216911,NA,NA,NA,NA,NA,NA,2625000,NA,NA,NA,NA,NA,NA,NA
"FIRST JUDICIAL DISTRICT OF PENNSYLVANIA",168082845,115503975,NA,NA,NA,NA,NA,NA,52578870,NA,NA,NA,NA,NA,NA,NA
"WATER DEPARTMENT",464602475,NA,427602475,37000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WATER DEPARTMENT – PHILADELPHIA WATER SEWER AND STORMWATER RATE BOARD",817982,NA,817982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COUNCIL – VETERANS ADVISORY COMMISSION",205300,NA,NA,NA,NA,NA,NA,NA,205300,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – PROVISION FOR OTHER GRANTS",220000939,NA,NA,NA,NA,NA,NA,NA,220000939,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE-FRINGE BENEFITS",5042638,NA,NA,NA,NA,NA,NA,NA,NA,NA,5042638,NA,NA,NA,NA,NA
"DIRECTOR OF FINANCE – COMMUNITY DEVELOPMENT BLOCK GRANT – TO BE ALLOCATED",20000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,NA,NA,NA,NA,NA
"BOARD OF PENSIONS AND RETIREMENT",11943000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11943000,NA,NA,NA
"DEPARTMENT OF PUBLIC HEALTH – STATE PAYMENT",299000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299000000,NA
