"","total","General Fund","Water Fund","Water Residual Fund","COUNTY LIQUID FUELS TAX FUND","Special Gasoline Tax Fund","HEALTHCHOICES BEHAVIORAL HEALTH REVENUE FUND","Hotel Room Rental Tax Fund","Grants Revenue Fund","Aviation ","Community Development Fund","Car Rental Tax Fund","Municipal Pensions fund","Housing Trust Fund","Acute Care Hospital Fund"
"COUNCIL",17225693,17225693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF LABOR",1746946,1746946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR",6231353,5316168,NA,NA,NA,NA,NA,NA,915185,NA,NA,NA,NA,NA,NA
"MAYOR Ð SCHOLARSHIPS",200000,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF INNOVATION AND TECHNOLOGY",191229392,100871935,31966821,NA,NA,NA,NA,NA,56227547,2163089,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF COMMUNITY EMPOWERMENT AND OPPORTUNITY",90000,90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY Ð BOARD OF TRUSTEES OF ATWATER KENT MUSEUM",250000,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY Ð ART MUSEUM SUBSIDY",2550000,2550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY Ð MURAL ARTS PROGRAM",2034016,2034016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF ARTS AND CULTURE AND THE CREATIVE ECONOMY",4172855,4172855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF THE INSPECTOR GENERAL",1636311,1636311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF THE CHIEF ADMINISTRATIVE OFFICER",6721636,6619329,NA,NA,NA,NA,NA,NA,102307,NA,NA,NA,NA,NA,NA
"MAYOR Ð OFFICE OF EDUCATION",25251312,24949452,NA,NA,NA,NA,NA,NA,301860,NA,NA,NA,NA,NA,NA
